Year,Disasters
1900,6
1901,1
1902,10
1903,14
1904,4
1905,8
1906,11
1907,6
1908,3
1909,16
1910,17
1911,19
1912,16
1913,14
1914,17
1915,7
1916,4
1917,7
1918,5
1919,4
1920,11
1921,2
1922,7
1923,15
1924,9
1925,13
1926,18
1927,10
1928,17
1929,5
1930,21
1931,14
1932,15
1933,13
1934,12
1935,16
1936,21
1937,12
1938,8
1939,12
1940,23
1941,22
1942,21
1943,25
1944,23
1945,16
1946,18
1947,14
1948,25
1949,21
1950,27
1951,31
1952,30
1953,36
1954,36
1955,34
1956,39
1957,28
1958,24
1959,37
1960,40
1961,32
1962,31
1963,41
1964,61
1965,62
1966,82
1967,77
1968,80
1969,66
1970,83
1971,67
1972,69
1973,76
1974,75
1975,69
1976,88
1977,120
1978,116
1979,114
1980,123
1981,136
1982,157
1983,215
1984,162
1985,173
1986,146
1987,183
1988,197
1989,172
1990,278
1991,233
1992,217
1993,263
1994,253
1995,253
1996,231
1997,262
1998,300
1999,342
2000,400
2001,380
2002,422
2003,368
2004,365
2005,435
2006,430
2007,413
2008,361
2009,367
2010,412
2011,345
2012,364
2013,342
2014,328
2015,398
2016,349
2017,365
2018,323
2019,412
2020,411
2021,439
2022,440
2023,450
2024,440
